ID,SKU,Fiyat (TL),Stok,Adet,Ürün Adı,URL
1564,60471,6699,Tükendi,0,"60471 LEGO® City Kutup Kaşifi Laboratuvar Kamyonu","https://lego.tr/product/60471-lego-city-kutup-kasifi-laboratuvar-kamyonu"
1572,60470,12199,Mevcut,36,"60470 LEGO® City Kaşiflerin Kuzey Kutbu Ekspres Treni","https://lego.tr/product/60470-lego-city-kasiflerin-kuzey-kutbu-ekspres-treni"
1580,60469,5399,Mevcut,16,"60469 LEGO® City Merkez Tren İstasyonu","https://lego.tr/product/60469-lego-city-merkez-tren-istasyonu"
1641,60503,3599,Tükendi,0,"60503 LEGO® City Sahil Güvenlik Helikopteri","https://lego.tr/60503-lego-city-sahil-guvenlik-helikopteri"
1745,60466,3599,Mevcut,4,"60466 LEGO® City Sarı Buldozer","https://lego.tr/product/60466-lego-city-sari-buldozer"
1753,60465,2999,Tükendi,0,"60465 LEGO® City Acil Hava Ambulans Uçağı","https://lego.tr/product/60465-lego-city-acil-hava-ambulans-ucagi"
1761,60457,2999,Mevcut,1,"60457 LEGO® City Özel Polis Arabası Garajı","https://lego.tr/product/60457-lego-city-ozel-polis-arabasi-garaji"
1769,60474,1899,Mevcut,259,"60474 LEGO® City VCARB ve Sauber Yarış Arabalı F1® Gridi","https://lego.tr/product/60474-lego-city-vcarb-ve-sauber-yaris-arabali-f1-gridi"
1777,60449,2299,Tükendi,0,"60449 LEGO® City Polis Arazi Aracı Takibi","https://lego.tr/product/60449-lego-city-polis-arazi-araci-takibi"
1785,60478,2399,Tükendi,0,"60478 LEGO® City Beton Mikseri","https://lego.tr/60478-lego-city-beton-mikseri"
1789,30719,299,Mevcut,609,"30719 LEGO® City Go Kart Yarışçısı","https://lego.tr/30719-lego-city-go-kart-yariscisi"
1793,60475,1699,Tükendi,0,"60475 LEGO® City 2025 Yılbaşı Takvimi","https://lego.tr/product/60475-lego-city-2025-yilbasi-takvimi"
1801,60367,6099,Mevcut,6,"60367 LEGO® City Yolcu Uçağı","https://lego.tr/product/60367-lego-city-yolcu-ucagi"
